"filename", "language", "YAML", "Properties", "Markdown", "Groovy", "Batch", "Shell Script", "Dockerfile", "XML", "HTML", "Kotlin", "Java", "JavaScript", "CSS", "comment", "blank", "total"
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\change_record_type.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\check.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\clone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\defer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\delete.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\description.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\dial_in.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\download.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\edit_groups.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\edit_relationship.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\email.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\fallback.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\filter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\flow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\follow.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\following.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\freeze_user.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\goal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\google_news.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\stateset-mainnet\server\out\production\resources\static\assets\icons\action\info.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
